"ID","Nome","Abreviacao","Slug"
1,"Outros","OUT","outros"
262,"Flamengo","FLA","flamengo"
263,"Botafogo","BOT","botafogo"
264,"Corinthians","COR","corinthians"
265,"Bahia","BAH","bahia"
266,"Fluminense","FLU","fluminense"
267,"Vasco","VAS","vasco"
275,"Palmeiras","PAL","palmeiras"
276,"São Paulo","SAO","sao-paulo"
277,"Santos","SAN","santos"
282,"Atlético-MG","CAM","atletico-mg"
283,"Cruzeiro","CRU","cruzeiro"
284,"Grêmio","GRE","gremio"
287,"Vitória","VIT","vitoria"
292,"Sport","SPO","sport"
293,"Atlético-PR","CAP","atletico-pr"
294,"Coritiba","CFC","coritiba"
303,"Ponte Preta","PON","ponte-preta"
314,"Avaí","AVA","avai"
315,"Chapecoense","CHA","chapecoense"
373,"Atlético-GO","ACG","atletico-go"
