"ID","Nome","Abreviacao","Slug"
262,"Flamengo","FLA","flamengo"
264,"Corinthians","COR","corinthians"
266,"Fluminense","FLU","fluminense"
267,"Vasco","VAS","vasco"
275,"Palmeiras","PAL","palmeiras"
276,"São Paulo","SAO","sao-paulo"
277,"Santos","SAN","santos"
282,"Atlético-MG","CAM","atletico-mg"
283,"Cruzeiro","CRU","cruzeiro"
284,"Grêmio","GRE","gremio"
285,"Internacional","INT","internacional"
290,"Goiás","GOI","goias"
292,"Sport","SPO","sport"
293,"Atlético-PR","CAP","atletico-pr"
294,"Coritiba","CFC","coritiba"
303,"Ponte Preta","PON","ponte-preta"
314,"Avaí","AVA","avai"
315,"Chapecoense","CHA","chapecoense"
316,"Figueirense","FIG","figueirense"
317,"Joinville","JEC","joinville"
